year,symbol,action,events,gross_mean_bp,gross_median_bp,positive_fraction,median_holding_minutes
2021,BTCUSDT,ACCEPT_CONTINUE,154,2.2193227562,-7.59209159528,0.441558441558,12
2021,BTCUSDT,REJECT_ROTATE,64,-1.20734569691,-15.6031341881,0.328125,17
2021,ETHUSDT,ACCEPT_CONTINUE,114,17.2643030205,-5.18576429033,0.491228070175,15
2021,ETHUSDT,REJECT_ROTATE,38,-3.54408205397,-20.1704388427,0.263157894737,12.5
2022,BTCUSDT,ACCEPT_CONTINUE,221,5.90145944619,-4.0182586389,0.447963800905,12
2022,BTCUSDT,REJECT_ROTATE,97,3.96516971718,-6.12605253991,0.350515463918,15
2022,ETHUSDT,ACCEPT_CONTINUE,220,13.1416969893,-1.83250062389,0.477272727273,11
2022,ETHUSDT,REJECT_ROTATE,89,0.573370060515,-12.3832038726,0.303370786517,18
2023,BTCUSDT,ACCEPT_CONTINUE,152,-3.14142383915,-6.68841836816,0.335526315789,6.5
2023,BTCUSDT,REJECT_ROTATE,96,3.30488644693,-2.40786084251,0.40625,9.5
2023,ETHUSDT,ACCEPT_CONTINUE,129,3.82644629845,-4.21012952507,0.395348837209,8
2023,ETHUSDT,REJECT_ROTATE,86,1.52259359693,-5.58431733383,0.313953488372,12.5
