episode_id,symbol,settlement_currency,side,start_time,start_price,start_qty,start_home_notional,start_foreign_notional,direct_reversal_entry,entry_after_flat_min,end_time,end_price,closed,settlement_closed,fill_count,discretionary_fill_count,add_count,reduce_count,winning_add_count,losing_add_count,flat_add_count,favorable_reduce_count,adverse_reduce_count,flat_reduce_count,maker_fill_count,taker_fill_count,unknown_liquidity_fill_count,maker_add_count,taker_add_count,max_abs_position,max_home_notional_proxy,max_foreign_notional_proxy,gross_realised_pnl_native,exec_comm_native,realised_minus_comm_proxy_native,first_order_type,first_time_in_force,first_exec_inst,reversal_from_episode_id,previous_episode_outcome,previous_episode_pnl_native,duration_min,directional_price_move,episode_outcome,maker_share,winning_add_share
XBTUSD-000001,XBTUSD,XBt,LONG,2020-05-01T09:03:47.360000+00:00,8822.0,1500.0,0.170025,1500.0,False,,2020-05-01T11:47:37.525000+00:00,9024.5,True,False,9,9,6,2,1,2,3,2,0,0,2,7,0,2,4,28998.0,3.28421682,28998.0,0.0,339952.0,-339952.0,Limit,GoodTillCancel,nan,,,,163.83608333333333,0.022953978689639554,FLAT,0.2222222222222222,0.16666666666666666
XBTUSD-000002,XBTUSD,XBt,LONG,2020-05-01T12:34:19.019000+00:00,8825.5,9666.0,1.09525446,9666.0,False,46.69156666666667,2020-05-01T20:06:31.420000+00:00,8721.5,True,False,21,21,17,3,4,13,0,0,3,0,13,8,0,12,5,74992.0,8.538375160000001,74992.0,0.0,513941.0,-513941.0,Limit,GoodTillCancel,nan,,FLAT,0.0,452.2066833333334,-0.011784034898872586,FLAT,0.6190476190476191,0.23529411764705882
XBTUSD-000003,XBTUSD,XBt,LONG,2020-05-01T21:30:33.177000+00:00,8760.0,11080.0,1.2648928,11080.0,False,84.02928333333332,2020-05-02T13:23:41.130000+00:00,8873.5,True,False,14,14,9,4,0,0,9,4,0,0,0,14,0,0,9,35332.0,4.0335011199999995,35332.0,0.0,541036.0,-541036.0,Limit,GoodTillCancel,nan,,FLAT,0.0,953.13255,0.012956621004566182,FLAT,0.0,0.0
XBTUSD-000004,XBTUSD,XBt,LONG,2020-05-02T18:08:49.639000+00:00,8836.0,4513.0,0.51073621,4513.0,False,285.1418166666666,2020-05-03T06:07:39.930000+00:00,9076.5,True,False,20,20,8,11,0,6,2,11,0,0,9,11,0,8,0,42996.0,4.8745032,42996.0,0.0,210063.0,-210063.0,Limit,GoodTillCancel,nan,,FLAT,0.0,718.8381833333333,0.02721819827976457,FLAT,0.45,0.0
XBTUSD-000005,XBTUSD,XBt,LONG,2020-05-03T07:14:36.775000+00:00,9030.5,5666.0,0.62745284,5666.0,False,66.94741666666667,2020-05-03T15:44:36.130000+00:00,8811.0,True,False,40,40,16,23,0,16,0,0,23,0,15,25,0,15,1,103324.0,11.65629048,103324.0,0.0,642393.0,-642393.0,Limit,GoodTillCancel,nan,,FLAT,0.0,509.98924999999997,-0.024306516804163625,FLAT,0.375,0.0
XBTUSD-000006,XBTUSD,XBt,LONG,2020-05-03T15:49:59.145000+00:00,8788.0,4666.0,0.53094414,4666.0,False,5.383583333333333,2020-05-05T09:25:24.095000+00:00,9017.0,True,False,8,8,3,4,0,3,0,4,0,0,4,4,0,3,0,29108.0,3.35758286,29108.0,0.0,142350.0,-142350.0,Limit,GoodTillCancel,nan,,FLAT,0.0,2495.4158333333335,0.026058261265361926,FLAT,0.5,0.0
XBTUSD-000007,XBTUSD,XBt,LONG,2020-05-05T10:00:31.359000+00:00,8973.5,4666.0,0.51997904,4666.0,False,35.12106666666667,2020-05-07T06:52:04.130000+00:00,9272.0,True,False,21,21,8,12,0,8,0,12,0,0,9,12,0,8,0,51328.0,5.7957258000000005,51328.0,0.0,243253.0,-243253.0,Limit,GoodTillCancel,nan,,FLAT,0.0,2691.5461833333334,0.033264612470050636,FLAT,0.42857142857142855,0.0
XBTUSD-000008,XBTUSD,XBt,LONG,2020-05-10T03:10:26.812000+00:00,8553.0,5444.0,0.63651248,5444.0,False,4098.378033333333,2020-05-10T08:01:24.164000+00:00,8784.0,True,False,23,23,13,9,5,8,0,9,0,0,7,16,0,7,6,87363.0,10.30094287,87363.0,0.0,918392.0,-918392.0,Limit,GoodTillCancel,nan,,FLAT,0.0,290.9558666666666,0.02700806734479122,FLAT,0.30434782608695654,0.38461538461538464
XBTUSD-000009,XBTUSD,XBt,SHORT,2020-05-10T08:20:27.874000+00:00,8849.5,3804.0,0.429852,3804.0,False,19.061833333333333,2020-05-10T09:59:47.298000+00:00,8758.0,True,False,3,3,0,2,0,0,0,2,0,0,2,1,0,0,0,3804.0,0.429852,3804.0,0.0,19243.0,-19243.0,Limit,GoodTillCancel,nan,,FLAT,0.0,99.32373333333334,0.010339567207186873,FLAT,0.6666666666666666,
XBTUSD-000010,XBTUSD,XBt,LONG,2020-05-10T09:59:49.340000+00:00,8733.0,3804.0,0.43559604,3804.0,False,0.03403333333333333,2020-05-11T18:17:00.254000+00:00,8286.0,True,False,91,91,63,27,42,21,0,7,20,0,49,42,0,44,19,136288.0,24.8764159,215516.0,0.0,1332611.0,-1332611.0,Limit,GoodTillCancel,nan,,FLAT,0.0,1937.1819,-0.05118515973892135,FLAT,0.5384615384615384,0.6666666666666666
XBTUSD-000011,XBTUSD,XBt,SHORT,2020-05-11T18:31:33.729000+00:00,8468.5,15990.0,1.8880992,15990.0,False,14.557916666666667,2020-05-11T18:36:51.573000+00:00,8403.0,True,False,92,92,33,58,5,22,6,58,0,0,0,92,0,0,33,444444.0,52.4805638,444444.0,0.0,7112521.0,-7112521.0,Limit,GoodTillCancel,nan,,FLAT,0.0,5.2974,0.007734545669244808,FLAT,0.0,0.15151515151515152
XBTUSD-000012,XBTUSD,XBt,SHORT,2020-05-21T12:35:54.239000+00:00,9351.5,804.0,0.08597172,804.0,False,14039.044433333333,2020-05-21T18:06:04.304000+00:00,8912.5,True,False,21,21,9,11,2,0,7,11,0,0,4,17,0,0,9,64552.0,6.90334088,64552.0,0.0,730624.0,-730624.0,Market,ImmediateOrCancel,nan,,FLAT,0.0,330.16774999999996,0.04694434048013685,FLAT,0.19047619047619047,0.2222222222222222
XBTUSD-000013,XBTUSD,XBt,LONG,2020-05-21T18:57:25.876000+00:00,8811.0,8555.0,0.97090695,8555.0,False,51.35953333333334,2020-05-22T16:16:02.606000+00:00,9193.0,True,False,2,2,0,1,0,0,0,1,0,0,1,1,0,0,0,8555.0,0.97090695,8555.0,0.0,40971.0,-40971.0,Limit,GoodTillCancel,nan,,FLAT,0.0,1278.6121666666666,0.04335489728748154,FLAT,0.5,
XBTUSD-000014,XBTUSD,XBt,LONG,2020-05-22T19:47:09.265000+00:00,9143.0,5555.0,0.60755035,5555.0,False,211.11098333333334,2020-05-28T13:31:27.719000+00:00,9406.5,True,False,89,89,37,51,0,37,0,21,30,0,51,38,0,37,0,171875.0,21.652684500000003,191540.0,0.0,2202.0,-2202.0,Limit,GoodTillCancel,nan,,FLAT,0.0,8264.307566666666,0.028819862189653378,FLAT,0.5730337078651685,0.0
XBTUSD-000015,XBTUSD,XBt,LONG,2020-05-30T20:47:31.426000+00:00,9417.5,5555.0,0.58988545,5555.0,False,3316.061783333333,2020-06-04T18:22:10.007000+00:00,9850.5,True,False,96,96,37,58,14,23,0,58,0,0,63,33,0,35,2,242765.0,37.46651305,348095.0,0.0,1095831.0,-1095831.0,Limit,GoodTillCancel,nan,,FLAT,0.0,7054.643016666667,0.04597823201486584,FLAT,0.65625,0.3783783783783784
XBTUSD-000016,XBTUSD,XBt,LONG,2020-06-05T20:57:31.356000+00:00,9697.0,7555.0,0.7790716,7555.0,False,1595.3558166666667,2020-06-11T15:15:41.435000+00:00,9503.0,True,False,67,67,30,36,9,21,0,25,11,0,41,26,0,25,5,172880.0,23.20262707,220921.0,0.0,437856.0,-437856.0,Limit,GoodTillCancel,nan,,FLAT,0.0,8298.167983333335,-0.020006187480664073,FLAT,0.6119402985074627,0.3
XBTUSD-000017,XBTUSD,XBt,LONG,2020-06-11T16:00:49.415000+00:00,9477.0,6555.0,0.6916836,6555.0,False,45.133,2020-06-11T18:01:35.905000+00:00,9344.0,True,False,10,10,8,1,0,8,0,1,0,0,9,1,0,8,0,54197.0,5.86955199,54197.0,0.0,259450.0,-259450.0,Limit,GoodTillCancel,nan,,FLAT,0.0,120.77483333333333,-0.014033976996939979,FLAT,0.9,0.0
XBTUSD-000018,XBTUSD,XBt,LONG,2020-06-11T19:23:54.379000+00:00,9277.0,6555.0,0.70656345,6555.0,False,82.3079,2020-06-12T14:50:32.694000+00:00,9453.0,True,False,4,4,2,1,0,2,0,1,0,0,3,1,0,2,0,19665.0,2.12545875,19665.0,0.0,92603.0,-92603.0,Limit,GoodTillCancel,nan,,FLAT,0.0,1166.6385833333334,0.01897165031799064,FLAT,0.75,0.0
XBTUSD-000019,XBTUSD,XBt,SHORT,2020-06-14T06:41:47.368000+00:00,9413.0,4000.0,0.42496,4000.0,False,2391.2445666666667,2020-06-14T11:15:13.716000+00:00,9430.0,True,False,67,67,46,20,10,0,36,0,20,0,0,67,0,0,46,257665.0,27.386534,257665.0,0.0,3692851.0,-3692851.0,Limit,GoodTillCancel,nan,,FLAT,0.0,273.43913333333336,-0.0018060129607988529,FLAT,0.0,0.21739130434782608
XBTUSD-000020,XBTUSD,XBt,SHORT,2020-06-14T13:13:12.776000+00:00,9371.0,24441.0,2.60809911,24441.0,False,117.98433333333334,2020-06-14T16:45:47.874000+00:00,9397.0,True,False,11,11,4,6,0,0,4,0,6,0,0,11,0,0,4,152555.0,16.279144050000003,152555.0,0.0,2194692.0,-2194692.0,Market,ImmediateOrCancel,nan,,FLAT,0.0,212.58496666666667,-0.0027745171273076963,FLAT,0.0,0.0
XBTUSD-000021,XBTUSD,XBt,SHORT,2020-06-14T18:17:17.443000+00:00,9364.5,4257.0,0.45460503,4257.0,False,91.49281666666667,2020-06-15T20:54:23.606000+00:00,9517.5,True,False,103,103,85,17,3,4,78,16,1,0,23,80,0,7,78,152555.0,29.8925671,279440.0,0.0,1388413.0,-1388413.0,Limit,GoodTillCancel,nan,,FLAT,0.0,1597.1027166666668,-0.016338298894762238,FLAT,0.22330097087378642,0.03529411764705882
XBTUSD-000022,XBTUSD,XBt,LONG,2020-06-15T22:35:23.634000+00:00,9424.0,9666.0,1.02565926,9666.0,False,101.00046666666667,2020-06-19T02:11:47.049000+00:00,9294.0,True,False,21,21,10,10,0,10,0,0,10,0,11,10,0,10,0,68330.0,7.337429440000001,68330.0,0.0,331188.0,-331188.0,Limit,GoodTillCancel,nan,,FLAT,0.0,4536.3902499999995,-0.013794567062818341,FLAT,0.5238095238095238,0.0
XBTUSD-000023,XBTUSD,XBt,LONG,2020-06-20T11:15:45.218000+00:00,9211.5,12222.0,1.32682032,12222.0,False,1983.9694833333333,2020-06-25T03:12:47.645000+00:00,9082.7,True,False,147,147,65,81,43,22,0,36,45,0,43,104,0,13,52,729654.0,107.19008941999998,1010880.0,0.0,8352539.0,-8352539.0,Limit,GoodTillCancel,nan,,FLAT,0.0,6717.04045,-0.013982521847690332,FLAT,0.2925170068027211,0.6615384615384615
XBTUSD-000024,XBTUSD,XBt,LONG,2020-06-25T06:45:45.804000+00:00,9175.0,19666.0,2.14339734,19666.0,False,212.96931666666666,2020-06-27T02:49:35.617000+00:00,9111.0,True,False,31,31,22,8,0,22,0,0,8,0,22,9,0,22,0,88664.0,9.705724900000003,88664.0,0.0,631429.0,-631429.0,Limit,GoodTillCancel,nan,,FLAT,0.0,2643.8302166666667,-0.006975476839237049,FLAT,0.7096774193548387,0.0
XBTUSD-000025,XBTUSD,XBt,SHORT,2020-06-28T02:14:03.502000+00:00,8945.0,5.0,0.00055895,5.0,False,1404.4647499999999,2020-06-28T06:37:44.228000+00:00,8990.5,True,False,96,96,86,9,72,4,10,0,9,0,0,96,0,0,86,133262.0,14.903377920000004,133262.0,0.0,2006458.0,-2006458.0,Limit,GoodTillCancel,nan,,FLAT,0.0,263.67876666666666,-0.005086640581330348,FLAT,0.0,0.8372093023255814
XBTUSD-000026,XBTUSD,XBt,LONG,2020-06-28T06:38:12.075000+00:00,8990.5,496.0,0.05517008,496.0,False,0.4641166666666667,2020-07-02T16:32:26.838000+00:00,9029.0,True,False,71,71,20,50,4,7,9,50,0,0,49,22,0,10,10,309693.0,46.888844299999995,422730.0,0.0,2656825.520306667,-2656825.520306667,Market,ImmediateOrCancel,nan,,FLAT,0.0,6354.24605,0.0042822979812022766,FLAT,0.6901408450704225,0.2
XBTUSD-000027,XBTUSD,XBt,SHORT,2020-07-02T16:32:26.838000+00:00,9029.0,55687.0,6.167335250000001,55687.0,True,0.0,2020-07-02T18:35:17.608000+00:00,9065.0,True,False,16,16,1,14,0,0,1,0,14,0,0,16,0,0,1,74358.0,8.235148500000001,74358.0,0.0,1109530.4796933334,-1109530.4796933334,Limit,GoodTillCancel,nan,XBTUSD-000026,FLAT,0.0,122.84616666666668,-0.0039871525085835025,FLAT,0.0,0.0
XBTUSD-000028,XBTUSD,XBt,SHORT,2020-07-02T20:16:24.348000+00:00,9039.0,9095.0,1.00617985,9095.0,False,101.11233333333332,2020-07-06T06:12:59.509000+00:00,9140.0,True,False,98,98,37,60,17,17,3,0,60,0,17,81,0,17,20,190167.0,20.86011046,190167.0,0.0,1293710.0,-1293710.0,Limit,GoodTillCancel,nan,,FLAT,0.0,4916.586016666667,-0.011173802411771128,FLAT,0.17346938775510204,0.4594594594594595
XBTUSD-000029,XBTUSD,XBt,LONG,2020-07-06T06:14:49.596000+00:00,9149.5,142156.0,15.5376508,142156.0,False,1.8347833333333334,2020-07-07T05:37:52.485000+00:00,9285.0,True,False,42,42,13,28,0,11,2,28,0,0,0,42,0,0,13,229998.0,25.1387814,229998.0,0.0,3363229.0,-3363229.0,Limit,GoodTillCancel,nan,,FLAT,0.0,1403.0481499999999,0.014809552434559281,FLAT,0.0,0.0
XBTUSD-000030,XBTUSD,XBt,LONG,2020-07-07T06:15:27.441000+00:00,9260.0,16666.0,1.79976134,16666.0,False,37.5826,2020-07-07T19:05:17.230000+00:00,9266.5,True,False,10,10,2,7,0,2,0,7,0,0,3,7,0,2,0,49998.0,5.40661706,49998.0,0.0,242565.0,-242565.0,Limit,GoodTillCancel,nan,,FLAT,0.0,769.8298166666666,0.0007019438444924031,FLAT,0.3,0.0
XBTUSD-000031,XBTUSD,XBt,LONG,2020-07-07T20:03:17.010000+00:00,9222.5,16666.0,1.80709438,16666.0,False,57.99633333333334,2020-07-09T15:20:47.762000+00:00,9224.5,True,False,75,75,56,18,55,1,0,7,11,0,2,73,0,1,55,323326.0,34.80880996000001,323326.0,0.0,4374555.0,-4374555.0,Limit,GoodTillCancel,nan,,FLAT,0.0,2597.5125333333335,0.00021686093792361305,FLAT,0.02666666666666667,0.9821428571428571
XBTUSD-000032,XBTUSD,XBt,LONG,2020-07-10T16:36:38.652000+00:00,9215.0,58.0,0.00629416,58.0,False,1515.8481666666667,2020-07-14T04:26:21.134000+00:00,9164.5,True,False,72,72,52,19,19,9,24,0,19,0,14,58,0,14,38,247797.0,33.51677725000001,310013.0,0.0,4110525.0,-4110525.0,Market,ImmediateOrCancel,nan,,FLAT,0.0,5029.708033333333,-0.005480195333695037,FLAT,0.19444444444444445,0.36538461538461536
XBTUSD-000033,XBTUSD,XBt,LONG,2020-07-14T17:05:36.889000+00:00,9228.0,100.0,0.010837,100.0,False,759.2625833333333,2020-07-15T02:24:15.627000+00:00,9245.0,True,False,26,26,13,12,0,0,13,12,0,0,0,26,0,0,13,122221.0,13.245089770000002,122221.0,0.0,1786425.0,-1786425.0,Limit,GoodTillCancel,nan,,FLAT,0.0,558.6456333333333,0.0018422193324663105,FLAT,0.0,0.0
XBTUSD-000034,XBTUSD,XBt,LONG,2020-07-15T08:22:32.866000+00:00,9214.5,8333.0,0.90429716,8333.0,False,358.2873166666667,2020-07-16T06:53:12.668000+00:00,9151.5,True,False,7,7,5,1,0,5,0,0,1,0,6,1,0,5,0,41665.0,4.5339853,41665.0,0.0,205298.0,-205298.0,Limit,GoodTillCancel,nan,,FLAT,0.0,1350.6633666666667,-0.006837050301155778,FLAT,0.8571428571428571,0.0
XBTUSD-000035,XBTUSD,XBt,SHORT,2020-07-16T07:11:35.663000+00:00,9141.0,5000.0,0.547,5000.0,False,18.383249999999997,2020-07-18T13:36:15.554000+00:00,9170.0,True,False,68,68,24,43,14,1,9,0,43,0,1,67,0,1,23,319996.0,35.03836184,319996.0,0.0,4360052.0,-4360052.0,Limit,GoodTillCancel,nan,,FLAT,0.0,3264.66485,-0.0031725194180067806,FLAT,0.014705882352941176,0.5833333333333334
XBTUSD-000036,XBTUSD,XBt,SHORT,2020-07-18T16:44:20.193000+00:00,9169.0,16666.0,1.81759396,16666.0,False,188.07731666666666,2020-07-20T05:54:22.395000+00:00,9187.5,True,False,15,15,13,1,0,13,0,1,0,0,13,2,0,13,0,56328.0,6.1222807999999995,56328.0,0.0,276080.0,-276080.0,Limit,GoodTillCancel,nan,,FLAT,0.0,2230.0366999999997,-0.002017668229905123,FLAT,0.8666666666666667,0.0
XBTUSD-000037,XBTUSD,XBt,SHORT,2020-07-20T19:49:26.455000+00:00,9153.5,6666.0,0.7282605,6666.0,False,835.0676666666666,2020-07-21T10:29:16.624000+00:00,9337.5,True,False,4,4,0,3,0,0,0,0,3,0,0,4,0,0,0,6666.0,0.7282605,6666.0,0.0,97345.0,-97345.0,Limit,GoodTillCancel,nan,,FLAT,0.0,879.83615,-0.02010160048069043,FLAT,0.0,
XBTUSD-000038,XBTUSD,XBt,LONG,2020-07-21T10:29:22.503000+00:00,9337.5,6666.0,0.7139286,6666.0,False,0.09798333333333333,2020-07-27T03:39:51.463000+00:00,10200.0,True,False,35,35,23,11,15,7,1,11,0,0,16,19,0,16,7,86322.0,12.799090379999999,122988.0,0.0,789504.0,-789504.0,Market,ImmediateOrCancel,nan,,FLAT,0.0,8230.482666666667,0.09236947791164662,FLAT,0.45714285714285713,0.6521739130434783
XBTUSD-000039,XBTUSD,XBt,LONG,2020-07-27T04:04:36.394000+00:00,10251.5,6666.0,0.6502683,6666.0,False,24.74885,2020-07-27T06:21:54.032000+00:00,10276.0,True,False,3,3,1,1,0,1,0,1,0,0,2,1,0,1,0,17999.0,1.75999566,17999.0,0.0,78626.0,-78626.0,Limit,GoodTillCancel,nan,,FLAT,0.0,137.29396666666668,0.0023898941618298863,FLAT,0.6666666666666666,0.0
XBTUSD-000040,XBTUSD,XBt,LONG,2020-07-27T07:59:53.689000+00:00,10179.0,11333.0,1.11335392,11333.0,False,97.99428333333334,2020-07-27T11:09:17.243000+00:00,10315.5,True,False,13,13,2,10,0,2,0,10,0,0,3,10,0,2,0,29332.0,2.88599545,29332.0,0.0,126993.0,-126993.0,Limit,GoodTillCancel,nan,,FLAT,0.0,189.39256666666668,0.013409961685823646,FLAT,0.23076923076923078,0.0
XBTUSD-000041,XBTUSD,XBt,LONG,2020-07-27T11:11:09.033000+00:00,10276.5,3666.0,0.35673846,3666.0,False,1.8631666666666669,2020-07-27T14:46:12.052000+00:00,10351.0,True,False,7,7,4,2,0,4,0,2,0,0,4,3,0,4,0,20332.0,1.98450668,20332.0,0.0,120044.0,-120044.0,Limit,GoodTillCancel,nan,,FLAT,0.0,215.05031666666667,0.007249549944047029,FLAT,0.5714285714285714,0.0
XBTUSD-000042,XBTUSD,XBt,LONG,2020-07-27T16:29:22.623000+00:00,10435.0,13666.0,1.30961278,13666.0,False,103.17618333333333,2020-07-27T19:37:16.714000+00:00,10778.0,True,False,2,2,0,1,0,0,0,1,0,0,0,2,0,0,0,13666.0,1.30961278,13666.0,0.0,173983.0,-173983.0,Limit,GoodTillCancel,nan,,FLAT,0.0,187.90151666666668,0.032870148538572064,FLAT,0.0,
